Entrez.Gene,adj.P.Val,P.Value,logFC,ID,logFC_max_min
101928885,0.655038,0.368,-0.1343975,8112435,0.02046851225174202
101928841,0.32606399999999996,0.0813,-0.29609,7972899,0.0451022549603987
101928751,0.46487799999999996,0.171,-0.1991675,7907568,0.03033617782212836
101928697,0.456211,0.163,1.9562599999999999,7967876,0.29802802846647075
101928673,0.5535180000000001,0.252,-0.39235,7922351,0.059767400673003124
101928612,0.645575,0.35600000000000004,-0.227415,8165255,0.034639665288540095
101928068,0.765288,0.518,-0.11594000000000002,7925585,0.017656524645359346
101927770,0.8416110000000001,0.647,-0.080935,8063449,0.012323536637155335
101927581,0.809954,0.5920000000000001,-0.0963225,8016866,0.01466781182573523
101927181,0.910082,0.778,0.0890975,8131140,0.013567087976020216
101927051,0.7507199999999999,0.496,-0.149525,8075963,0.02277317661666435
101447996,0.038011,0.00131,-1.0613025,7919303,0.161681860337568
101060256,0.545425,0.243,0.55215,7939897,0.08411282229022927
100996702,0.522392,0.22,-0.42643500000000006,7918620,0.06496022730518808
100996634,0.913641,0.7859999999999999,0.036367500000000004,8121405,0.005533708239622631
100996485,0.8916860000000001,0.743,0.1870175,8108192,0.028485133562746023
